2019-04-20 22:41:13,773 : u'$'
2019-04-20 22:41:13,976 : u'$'
2019-04-20 22:41:14,157 : u'$'
2019-04-20 22:41:14,329 : u'$'
2019-04-20 22:41:14,877 : u'$'
2019-04-20 22:41:15,063 : u'$'
2019-04-20 22:41:15,236 : u'$'
2019-04-20 22:41:15,424 : u'$'
2019-04-20 22:41:15,877 : u'$'
2019-04-20 22:41:18,115 : Key.enter
2019-04-20 22:41:28,092 : Key.delete
2019-04-20 22:41:30,201 : Key.ctrl_l
2019-04-20 22:41:30,654 : Key.ctrl_l
2019-04-20 22:41:30,654 : u'z'
2019-04-20 22:41:43,378 : Key.enter
2019-04-20 22:42:21,615 : Key.enter
2019-04-20 22:42:41,451 : u'i'
2019-04-20 22:42:41,921 : u'm'
2019-04-20 22:42:42,201 : u'p'
2019-04-20 22:42:42,437 : u'o'
2019-04-20 22:42:43,529 : u'r'
2019-04-20 22:42:43,687 : u't'
2019-04-20 22:42:45,844 : Key.space
2019-04-20 22:42:46,782 : u'l'
2019-04-20 22:42:47,065 : u'o'
2019-04-20 22:42:47,565 : u'g'
2019-04-20 22:42:47,721 : u'g'
2019-04-20 22:42:47,910 : u'e'
2019-04-20 22:42:48,186 : u'r'
2019-04-20 22:42:48,608 : u'1'
2019-04-20 22:42:51,871 : Key.enter
2019-04-20 22:42:53,467 : Key.enter
2019-04-20 22:43:12,561 : u'l'
2019-04-20 22:43:12,858 : u'o'
2019-04-20 22:43:13,311 : u'g'
2019-04-20 22:43:13,483 : u'g'
2019-04-20 22:43:13,788 : u'e'
2019-04-20 22:43:14,134 : u'r'
2019-04-20 22:43:15,098 : u'1'
2019-04-20 22:43:16,209 : u'.'
2019-04-20 22:43:16,723 : u's'
2019-04-20 22:43:17,020 : u't'
2019-04-20 22:43:17,568 : u'a'
2019-04-20 22:43:18,352 : u'r'
2019-04-20 22:43:18,900 : u't'
2019-04-20 22:43:20,137 : u'('
2019-04-20 22:43:20,512 : u')'
2019-04-20 22:43:23,345 : Key.left
2019-04-20 22:43:23,611 : Key.left
2019-04-20 22:43:24,395 : Key.backspace
2019-04-20 22:43:24,584 : Key.backspace
